Time ,yolk,SD
192,0.082129694,0.024340666
216,0.069919176,0.020805509
240,0.069202478,0.020786289
264,0.076607804,0.019537001
288,0.056010669,0.017449106
312,0.035532532,0.010441703
336,0.018130479,0.007338961
360,0.012816365,0.0022165
